Sam Curran
Glenn Maxwell
Dan Christian
Shakib Al Hasan
Ben Stokes
Washigton Sundar
Hardik Pandya
Krunal Pandya
Keiron Pollard
James Neesham
Dwayne Bravo
Ravindra Jadeja
Marcus Stoinis
R Ashwin
Deepak Hooda
Ben Cutting
Andre Russell
Shreyas Gopal
Jason Holder
Vijay Shankar
Kedar Jadhav
